satisfiedBoolean,wantSomeExtraPoints,whyDoYouWantToAchieveThemText,whatAreYouLookingForText,whatIsYourHobby
on,on,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,lectus pellentesque eget nunc donec quis,CMMS
off,off,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,nec nisi volutpat eleifend donec,Army
off,off,molestie lorem quisque ut erat,rhoncus dui vel sem sed sagittis nam congue,NSPS
on,off,bibendum morbi non quam nec dui,cras non velit nec nisi vulputate nonummy,Kanban
off,on,tempus sit amet sem,orci mauris lacinia sapien quis libero,SVT
on,on,eu massa donec dapibus duis at velit eu est congue,mattis pulvinar nulla pede ullamcorper,Ulead VideoStudio
off,off,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,mattis odio donec vitae nisi nam ultrices,iSCSI
off,on,massa tempor convallis,amet justo morbi ut odio cras mi pede malesuada in,Ships
on,off,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,justo lacinia eget tincidunt eget tempus,TV series
off,off,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,feugiat et eros vestibulum ac est,AutoCAD Architecture
off,on,sit amet nulla quisque arcu libero,elementum pellentesque quisque porta volutpat erat quisque erat eros,SGW
on,on,in tempus sit amet,venenatis turpis enim blandit mi in,International Human Rights
off,off,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,at nulla suspendisse potenti cras in purus eu,Motivational Speaking
off,on,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,duis consequat dui nec nisi,Rational DOORS
on,off,faucibus orci luctus,neque duis bibendum morbi non,Guitar
on,off,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,justo morbi ut odio cras mi pede malesuada,Church Growth
off,on,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,consectetuer eget rutrum at lorem integer tincidunt ante,JMX
on,on,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,pellentesque eget nunc donec quis orci eget orci vehicula,Assurance
off,off,sapien sapien non,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,VW
off,on,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,venenatis turpis enim blandit mi in porttitor,EBIT
on,off,odio donec vitae nisi nam ultrices libero non mattis,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,Mixed-Signal IC Design
off,on,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,nullam varius nulla facilisi cras non velit nec,CBM
off,on,odio in hac habitasse platea dictumst maecenas ut,placerat praesent blandit nam nulla integer,XRF
on,on,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,Roth IRA
off,off,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,sed ante vivamus tortor duis mattis egestas metus aenean,IBM AIX
